Group,PID,AT,BT,CT,TAT,WT
RR,1,0,79,42401,42401,42322
RR,2,2,91,46623,46621,46530
RR,3,4,55,31896,31892,31837
RR,4,6,68,38920,38914,38846
RR,5,8,31,16159,16151,16120
RR,6,10,95,48337,48327,48232
RR,7,12,78,43689,43677,43599
RR,8,14,12,958,944,932
RR,9,16,38,22193,22177,22139
RR,10,18,37,22392,22374,22337
RR,11,20,18,6268,6248,6230
RR,12,22,97,49012,48990,48893
RR,13,24,90,47618,47594,47504
RR,14,26,19,8809,8783,8764
RR,15,28,20,9007,8979,8959
RR,16,30,83,46308,46278,46195
RR,17,32,50,31600,31568,31518
RR,18,34,73,43231,43197,43124
RR,19,36,59,37301,37265,37206
RR,20,38,46,29373,29335,29289
RR,21,40,26,14825,14785,14759
RR,22,42,60,37511,37469,37409
RR,23,44,20,10001,9957,9937
RR,24,46,73,43564,43518,43445
RR,25,48,29,18465,18417,18388
RR,26,50,10,1630,1580,1570
RR,27,52,32,20217,20165,20133
RR,28,54,74,43763,43709,43635
RR,29,56,37,24825,24769,24732
RR,30,58,83,46805,46747,46664
RR,31,60,46,30270,30210,30164
RR,32,62,50,32716,32654,32604
RR,33,64,32,20619,20555,20523
RR,34,66,12,3936,3870,3858
RR,35,68,69,42469,42401,42332
RR,36,70,25,16134,16064,16039
RR,37,72,24,14569,14497,14473
RR,38,74,51,34109,34035,33984
RR,39,76,61,39255,39179,39118
RR,40,78,17,9657,9579,9562
RR,41,80,95,49231,49151,49056
RR,42,82,11,4447,4365,4354
RR,43,84,87,47939,47855,47768
RR,44,86,94,48991,48905,48811
RR,45,88,100,49683,49595,49495
RR,46,90,45,30926,30836,30791
RR,47,92,57,37644,37552,37495
RR,48,94,74,44261,44167,44093
RR,49,96,77,45531,45435,45358
RR,50,98,48,32297,32199,32151
RR,51,100,62,39647,39547,39485
RR,52,102,39,27334,27232,27193
RR,53,104,54,35807,35703,35649
RR,54,106,85,47682,47576,47491
RR,55,108,14,7064,6956,6942
RR,56,110,71,43778,43668,43597
RR,57,112,37,26209,26097,26060
RR,58,114,51,34896,34782,34731
RR,59,116,94,49132,49016,48922
RR,60,118,38,26279,26161,26123
RR,61,120,44,30266,30146,30102
RR,62,122,43,30283,30161,30118
RR,63,124,40,27706,27582,27542
RR,64,126,12,5619,5493,5481
RR,65,128,10,3856,3728,3718
RR,66,130,86,47778,47648,47562
RR,67,132,63,40821,40689,40626
RR,68,134,93,49166,49032,48939
RR,69,136,39,27846,27710,27671
RR,70,138,63,40867,40729,40666
RR,71,140,74,44615,44475,44401
RR,72,142,12,5871,5729,5717
RR,73,144,92,48908,48764,48672
RR,74,146,53,36263,36117,36064
RR,75,148,89,48599,48451,48362
RR,76,150,63,40962,40812,40749
RR,77,152,52,35243,35091,35039
RR,78,154,63,40995,40841,40778
RR,79,156,78,45916,45760,45682
RR,80,158,39,28097,27939,27900
RR,81,160,51,35313,35153,35102
RR,82,162,11,6190,6028,6017
RR,83,164,69,43408,43244,43175
RR,84,166,74,44777,44611,44537
RR,85,168,49,34295,34127,34078
RR,86,170,67,42714,42544,42477
RR,87,172,37,26921,26749,26712
RR,88,174,69,43473,43299,43230
RR,89,176,44,30869,30693,30649
RR,90,178,64,41179,41001,40937
RR,91,180,75,45462,45282,45207
RR,92,182,85,47977,47795,47710
RR,93,184,10,4751,4567,4557
RR,94,186,20,13522,13336,13316
RR,95,188,47,33373,33185,33138
RR,96,190,16,10174,9984,9968
RR,97,192,22,15256,15064,15042
RR,98,194,45,32263,32069,32024
RR,99,196,22,15314,15118,15096
RR,100,198,39,28580,28382,28343
RR,101,200,29,21573,21373,21344
RR,102,202,81,47181,46979,46898
RR,103,204,55,37811,37607,37552
RR,104,206,27,20147,19941,19914
RR,105,208,32,23155,22947,22915
RR,106,210,34,24626,24416,24382
RR,107,212,18,12240,12028,12010
RR,108,214,53,36904,36690,36637
RR,109,216,50,34794,34578,34528
RR,110,218,73,45067,44849,44776
RR,111,220,60,39799,39579,39519
RR,112,222,17,12383,12161,12144
RR,113,224,57,38926,38702,38645
RR,114,226,80,46784,46558,46478
RR,115,228,44,31427,31199,31155
RR,116,230,26,18903,18673,18647
RR,117,232,11,7239,7007,6996
RR,118,234,73,45126,44892,44819
RR,119,236,63,41567,41331,41268
RR,120,238,28,20481,20243,20215
RR,121,240,18,12530,12290,12272
RR,122,242,25,18982,18740,18715
RR,123,244,44,31507,31263,31219
RR,124,246,14,9122,8876,8862
RR,125,248,20,14254,14006,13986
RR,126,250,40,29032,28782,28742
RR,127,252,60,39917,39665,39605
RR,128,254,93,49392,49138,49045
RR,129,256,43,31558,31302,31259
RR,130,258,87,48536,48278,48191
RR,131,260,55,38123,37863,37808
RR,132,262,33,25038,24776,24743
RR,133,264,63,41646,41382,41319
RR,134,266,11,7504,7238,7227
RR,135,268,35,26464,26196,26161
RR,136,270,24,17623,17353,17329
RR,137,272,46,32826,32554,32508
RR,138,274,31,23677,23403,23372
RR,139,276,24,17665,17389,17365
RR,140,278,57,39132,38854,38797
RR,141,280,72,44611,44331,44259
RR,142,282,36,26542,26260,26224
RR,143,284,54,37244,36960,36906
RR,144,286,55,38233,37947,37892
RR,145,288,12,7676,7388,7376
RR,146,290,91,49194,48904,48813
RR,147,292,32,23795,23503,23471
RR,148,294,66,42544,42250,42184
RR,149,296,61,40949,40653,40592
RR,150,298,12,7756,7458,7446
RR,151,300,35,26647,26347,26312
RR,152,302,87,48604,48302,48215
RR,153,304,59,40136,39832,39773
RR,154,306,39,29341,29035,28996
RR,155,308,88,48612,48304,48216
RR,156,310,87,48615,48305,48218
RR,157,312,85,48262,47950,47865
RR,158,314,50,35288,34974,34924
RR,159,316,38,28092,27776,27738
RR,160,318,48,34202,33884,33836
RR,161,320,45,33067,32747,32702
RR,162,322,93,49458,49136,49043
RR,163,324,99,49947,49623,49524
RR,164,326,71,44753,44427,44356
RR,165,328,42,30725,30397,30355
RR,166,330,36,26828,26498,26462
RR,167,332,91,49249,48917,48826
RR,168,334,74,45399,45065,44991
RR,169,336,97,49841,49505,49408
RR,170,338,57,39380,39042,38985
RR,171,340,53,37493,37153,37100
RR,172,342,67,43452,43110,43043
RR,173,344,78,46543,46199,46121
RR,174,346,99,49954,49608,49509
RR,175,348,85,48332,47984,47899
RR,176,350,57,39434,39084,39027
RR,177,352,63,41974,41622,41559
RR,178,354,42,30873,30519,30477
RR,179,356,37,28329,27973,27936
RR,180,358,20,15056,14698,14678
RR,181,360,85,48352,47992,47907
RR,182,362,85,48353,47991,47906
RR,183,364,63,42023,41659,41596
RR,184,366,56,38586,38220,38164
RR,185,368,98,49854,49486,49388
RR,186,370,21,16749,16379,16358
RR,187,372,53,37649,37277,37224
RR,188,374,54,37659,37285,37231
RR,189,376,64,42073,41697,41633
RR,190,378,44,32216,31838,31794
RR,191,380,51,36671,36291,36240
RR,192,382,52,36677,36295,36243
RR,193,384,41,31042,30658,30617
RR,194,386,42,31052,30666,30624
RR,195,388,14,10230,9842,9828
RR,196,390,89,49036,48646,48557
RR,197,392,79,47142,46750,46671
RR,198,394,97,49866,49472,49375
RR,199,396,31,24463,24067,24036
RR,200,398,89,49047,48649,48560
RR,201,400,90,49053,48653,48563
RR,202,402,52,36772,36370,36318
RR,203,404,14,10358,9954,9940
RR,204,406,32,24530,24124,24092
RR,205,408,82,47646,47238,47156
RR,206,410,63,42187,41777,41714
RR,207,412,67,43679,43267,43200
RR,208,414,28,21661,21247,21219
RR,209,416,77,46713,46297,46220
RR,210,418,85,48449,48031,47946
RR,211,420,87,48789,48369,48282
RR,212,422,14,10497,10075,10061
RR,213,424,53,37881,37457,37404
RR,214,426,65,43006,42580,42515
RR,215,428,14,10545,10117,10103
RR,216,430,49,35859,35429,35380
RR,217,432,84,48093,47661,47577
RR,218,434,18,13980,13546,13528
RR,219,436,86,48475,48039,47953
RR,220,438,37,28830,28392,28355
RR,221,440,12,8879,8439,8427
RR,222,442,14,10651,10209,10195
RR,223,444,76,46250,45806,45730
RR,224,446,43,32580,32134,32091
RR,225,448,49,35953,35505,35456
RR,226,450,32,24808,24358,24326
RR,227,452,68,43796,43344,43276
RR,228,454,42,31421,30967,30925
RR,229,456,30,23391,22935,22905
RR,230,458,67,43801,43343,43276
RR,231,460,68,43807,43347,43279
RR,232,462,96,49769,49307,49211
RR,233,464,26,20439,19975,19949
RR,234,466,74,45717,45251,45177
RR,235,468,11,9024,8556,8545
RR,236,470,98,49913,49443,49345
RR,237,472,16,12496,12024,12008
RR,238,474,38,28965,28491,28453
RR,239,476,75,46289,45813,45738
RR,240,478,95,49772,49294,49199
RR,241,480,54,38051,37571,37517
RR,242,482,71,45143,44661,44590
RR,243,484,32,24913,24429,24397
RR,244,486,22,17430,16944,16922
RR,245,488,80,47301,46813,46733
RR,246,490,96,49778,49288,49192
RR,247,492,73,45749,45257,45184
RR,248,494,14,10875,10381,10367
RR,249,496,91,49387,48891,48800
RR,250,498,13,10890,10392,10379
RR,251,500,59,40771,40271,40212
RR,252,502,12,9158,8656,8644
RR,253,504,16,12614,12110,12094
RR,254,506,74,45761,45255,45181
RR,255,508,49,36074,35566,35517
RR,256,510,55,39029,38519,38464
RR,257,512,46,33887,33375,33329
RR,258,514,85,48533,48019,47934
RR,259,516,74,45773,45257,45183
RR,260,518,79,47326,46808,46729
RR,261,520,65,43176,42656,42591
RR,262,522,29,23593,23071,23042
RR,263,524,58,39957,39433,39375
RR,264,526,47,35043,34517,34470
RR,265,528,38,29112,28584,28546
RR,266,530,15,12713,12183,12168
RR,267,532,77,46862,46330,46253
RR,268,534,57,39974,39440,39383
RR,269,536,23,19157,18621,18598
RR,270,538,63,42448,41910,41847
RR,271,540,71,45212,44672,44601
RR,272,542,29,23658,23116,23087
RR,273,544,15,12764,12220,12205
RR,274,546,24,19191,18645,18621
RR,275,548,25,20718,20170,20145
RR,276,550,30,23679,23129,23099
RR,277,552,97,49926,49374,49277
RR,278,554,96,49797,49243,49147
RR,279,556,58,40021,39465,39407
RR,280,558,97,49930,49372,49275
RR,281,560,32,25139,24579,24547
RR,282,562,90,49184,48622,48532
RR,283,564,76,46378,45814,45738
RR,284,566,68,43954,43388,43320
RR,285,568,88,48898,48330,48242
RR,286,570,11,9421,8851,8840
RR,287,572,96,49807,49235,49139
RR,288,574,73,45842,45268,45195
RR,289,576,94,49632,49056,48962
RR,290,578,80,47387,46809,46729
RR,291,580,77,46912,46332,46255
RR,292,582,37,29262,28680,28643
RR,293,584,75,46409,45825,45750
RR,294,586,65,43284,42698,42633
RR,295,588,64,42542,41954,41890
RR,296,590,24,19337,18747,18723
RR,297,592,83,48239,47647,47564
RR,298,594,76,46425,45831,45755
RR,299,596,95,49816,49220,49125
RR,300,598,13,11270,10672,10659
RR,301,600,81,47855,47255,47174
RR,302,602,13,11284,10682,10669
RR,303,604,66,43310,42706,42640
RR,304,606,13,11299,10693,10680
RR,305,608,89,49209,48601,48512
RR,306,610,27,22403,21793,21766
RR,307,612,71,45307,44695,44624
RR,308,614,49,36322,35708,35659
RR,309,616,67,44033,43417,43350
RR,310,618,77,46955,46337,46260
RR,311,620,97,49942,49322,49225
RR,312,622,12,9623,9001,8989
RR,313,624,11,9630,9006,8995
RR,314,626,95,49823,49197,49102
RR,315,628,68,44057,43429,43361
RR,316,630,40,30655,30025,29985
RR,317,632,80,47452,46820,46740
RR,318,634,63,42619,41985,41922
RR,319,636,90,49224,48588,48498
RR,320,638,84,48281,47643,47559
RR,321,640,19,16383,15743,15724
RR,322,642,74,45936,45294,45220
RR,323,644,29,23980,23336,23307
RR,324,646,13,11452,10806,10793
RR,325,648,87,48955,48307,48220
RR,326,650,47,35332,34682,34635
RR,327,652,94,49666,49014,48920
RR,328,654,29,24010,23356,23327
RR,329,656,72,45375,44719,44647
RR,330,658,19,16446,15788,15769
RR,331,660,49,36421,35761,35712
RR,332,662,78,47015,46353,46275
RR,333,664,98,49951,49287,49189
RR,334,666,63,42679,42013,41950
RR,335,668,88,48981,48313,48225
RR,336,670,39,30763,30093,30054
RR,337,672,54,38447,37775,37721
RR,338,674,51,37476,36802,36751
RR,339,676,85,48676,48000,47915
RR,340,678,21,18091,17413,17392
RR,341,680,68,44144,43464,43396
RR,342,682,78,47045,46363,46285
RR,343,684,59,41120,40436,40377
RR,344,686,61,41942,41256,41195
RR,345,688,78,47047,46359,46281
RR,346,690,72,45421,44731,44659
RR,347,692,74,46002,45310,45236
RR,348,694,64,42730,42036,41972
RR,349,696,56,39424,38728,38672
RR,350,698,63,42737,42039,41976
RR,351,700,41,32064,31364,31323
RR,352,702,28,22714,22012,21984
RR,353,704,36,28304,27600,27564
RR,354,706,89,49260,48554,48465
RR,355,708,10,8194,7486,7476
RR,356,710,67,44178,43468,43401
RR,357,712,54,38534,37822,37768
RR,358,714,100,50022,49308,49208
RR,359,716,79,47536,46820,46741
RR,360,718,84,48347,47629,47545
RR,361,720,95,49846,49126,49031
RR,362,722,72,45461,44739,44667
RR,363,724,45,34423,33699,33654
RR,364,726,47,35525,34799,34752
RR,365,728,98,49958,49230,49132
RR,366,730,40,30938,30208,30168
RR,367,732,99,50023,49291,49192
RR,368,734,67,44220,43486,43419
RR,369,736,11,10068,9332,9321
RR,370,738,32,25701,24963,24931
RR,371,740,32,25707,24967,24935
RR,372,742,100,50025,49283,49183
RR,373,744,18,15156,14412,14394
RR,374,746,87,49019,48273,48186
RR,375,748,29,24318,23570,23541
RR,376,750,82,47999,47249,47167
RR,377,752,27,22883,22131,22104
RR,378,754,92,49510,48756,48664
RR,379,756,83,48382,47626,47543
RR,380,758,14,11884,11126,11112
RR,381,760,14,11892,11132,11118
RR,382,762,29,24364,23602,23573
RR,383,764,37,29778,29014,28977
RR,384,766,39,31033,30267,30228
RR,385,768,100,50027,49259,49159
RR,386,770,59,41284,40514,40455
RR,387,772,23,19961,19189,19166
RR,388,774,72,45530,44756,44684
RR,389,776,49,36700,35924,35875
RR,390,778,32,25824,25046,25014
RR,391,780,59,41303,40523,40464
RR,392,782,56,39593,38811,38755
RR,393,784,15,13661,12877,12862
RR,394,786,50,36724,35938,35888
RR,395,788,25,21520,20732,20707
RR,396,790,74,46118,45328,45254
RR,397,792,52,37745,36953,36901
RR,398,794,79,47612,46818,46739
RR,399,796,78,47156,46360,46282
RR,400,798,53,38713,37915,37862
RR,401,800,63,42910,42110,42047
RR,402,802,16,13731,12929,12913
RR,403,804,56,39637,38833,38777
RR,404,806,92,49530,48724,48632
RR,405,808,39,31152,30344,30305
RR,406,810,87,49064,48254,48167
RR,407,812,10,8608,7796,7786
RR,408,814,68,44345,43531,43463
RR,409,816,37,29930,29114,29077
RR,410,818,54,38765,37947,37893
RR,411,820,94,49733,48913,48819
RR,412,822,68,44360,43538,43470
RR,413,824,48,35771,34947,34899
RR,414,826,11,10421,9595,9584
RR,415,828,38,29966,29138,29100
RR,416,830,89,49333,48503,48414
RR,417,832,100,50034,49202,49102
RR,418,834,19,17081,16247,16228
RR,419,836,14,12182,11346,11332
RR,420,838,52,37855,37017,36965
RR,421,840,48,35811,34971,34923
RR,422,842,30,24622,23780,23750
RR,423,844,99,50035,49191,49092
RR,424,846,17,15526,14680,14663
RR,425,848,60,41439,40591,40531
RR,426,850,52,37885,37035,36983
RR,427,852,46,34755,33903,33857
RR,428,854,76,46737,45883,45807
RR,429,856,20,17159,16303,16283
RR,430,858,44,33641,32783,32739
RR,431,860,21,18733,17873,17852
RR,432,862,71,45651,44789,44718
RR,433,864,69,45051,44187,44118
RR,434,866,51,37914,37048,36997
RR,435,868,68,44422,43554,43486
RR,436,870,100,50042,49172,49072
RR,437,872,96,49899,49027,48931
RR,438,874,96,49901,49027,48931
RR,439,876,38,30108,29232,29194
RR,440,878,79,47699,46821,46742
RR,441,880,48,35912,35032,34984
RR,442,882,74,46242,45360,45286
RR,443,884,37,30133,29249,29212
RR,444,886,72,45687,44801,44729
RR,445,888,12,10663,9775,9763
RR,446,890,78,47259,46369,46291
RR,447,892,99,50046,49154,49055
RR,448,894,78,47265,46371,46293
RR,449,896,53,38921,38025,37972
RR,450,898,63,43075,42177,42114
RR,451,900,28,23367,22467,22439
RR,452,902,94,49765,48863,48769
RR,453,904,92,49579,48675,48583
RR,454,906,43,33762,32856,32813
RR,455,908,16,14100,13192,13176
RR,456,910,70,45107,44197,44127
RR,457,912,48,35971,35059,35011
RR,458,914,11,10736,9822,9811
RR,459,916,11,10739,9823,9812
RR,460,918,81,48126,47208,47127
RR,461,920,95,49911,48991,48896
RR,462,922,33,27599,26677,26644
RR,463,924,56,39846,38922,38866
RR,464,926,44,33784,32858,32814
RR,465,928,87,49130,48202,48115
RR,466,930,54,38952,38022,37968
RR,467,932,80,47729,46797,46717
RR,468,934,61,42346,41412,41351
RR,469,936,84,48507,47571,47487
RR,470,938,81,48137,47199,47118
RR,471,940,83,48508,47568,47485
RR,472,942,56,39870,38928,38872
RR,473,944,18,15789,14845,14827
RR,474,946,20,17380,16434,16414
RR,475,948,60,41569,40621,40561
RR,476,950,53,38979,38029,37976
RR,477,952,71,45730,44778,44707
RR,478,954,52,38045,37091,37039
RR,479,956,34,27647,26691,26657
RR,480,958,43,33825,32867,32824
RR,481,960,76,46809,45849,45773
RR,482,962,95,49914,48952,48857
RR,483,964,55,39887,38923,38868
RR,484,966,87,49139,48173,48086
RR,485,968,33,27666,26698,26665
RR,486,970,31,26308,25338,25307
RR,487,972,24,20509,19537,19513
RR,488,974,48,36037,35063,35015
RR,489,976,79,47746,46770,46691
RR,490,978,94,49776,48798,48704
RR,491,980,27,23492,22512,22485
RR,492,982,53,39004,38022,37969
RR,493,984,35,29010,28026,27991
RR,494,986,42,32698,31712,31670
RR,495,988,56,39903,38915,38859
RR,496,990,92,49595,48605,48513
RR,497,992,30,24947,23955,23925
RR,498,994,34,27700,26706,26672
RR,499,996,51,38080,37084,37033
RR,500,998,42,32710,31712,31670
RR,501,1000,14,12598,11598,11584
RR,502,1002,96,49916,48914,48818
RR,503,1004,33,27713,26709,26676
RR,504,1006,34,27715,26709,26675
RR,505,1008,92,49599,48591,48499
RR,506,1010,49,37099,36089,36040
RR,507,1012,38,30313,29301,29263
RR,508,1014,81,48160,47146,47065
RR,509,1016,24,20579,19563,19539
RR,510,1018,48,36076,35058,35010
RR,511,1020,38,30325,29305,29267
RR,512,1022,16,14298,13276,13260
RR,513,1024,26,22087,21063,21037
RR,514,1026,46,35006,33980,33934
RR,515,1028,99,50047,49019,48920
RR,516,1030,85,48863,47833,47748
RR,517,1032,22,19082,18050,18028
RR,518,1034,69,45180,44146,44077
RR,519,1036,57,40796,39760,39703
RR,520,1038,93,49783,48745,48652
RR,521,1040,85,48866,47826,47741
RR,522,1042,95,49919,48877,48782
RR,523,1044,37,30362,29318,29281
RR,524,1046,69,45191,44145,44076
RR,525,1048,78,47336,46288,46210
RR,526,1050,31,26427,25377,25346
RR,527,1052,82,48178,47126,47044
RR,528,1054,97,50004,48950,48853
RR,529,1056,85,48871,47815,47730
RR,530,1058,24,20657,19599,19575
RR,531,1060,44,33935,32875,32831
RR,532,1062,37,30385,29323,29286
RR,533,1064,92,49609,48545,48453
RR,534,1066,44,33943,32877,32833
RR,535,1068,82,48186,47118,47036
RR,536,1070,60,41654,40584,40524
RR,537,1072,100,50049,48977,48877
RR,538,1074,67,44582,43508,43441
RR,539,1076,62,42447,41371,41309
RR,540,1078,55,39985,38907,38852
RR,541,1080,66,43915,42835,42769
RR,542,1082,19,17621,16539,16520
RR,543,1084,67,44587,43503,43436
RR,544,1086,57,40846,39760,39703
RR,545,1088,83,48553,47465,47382
RR,546,1090,72,45807,44717,44645
RR,547,1092,99,50050,48958,48859
RR,548,1094,91,49614,48520,48429
RR,549,1096,65,43928,42832,42767
RR,550,1098,77,47357,46259,46182
RR,551,1100,15,14443,13343,13328
RR,552,1102,18,16069,14967,14949
RR,553,1104,51,38186,37082,37031
RR,554,1106,20,17663,16557,16537
RR,555,1108,100,50052,48944,48844
RR,556,1110,35,29177,28067,28032
RR,557,1112,95,49929,48817,48722
RR,558,1114,57,40870,39756,39699
RR,559,1116,49,37218,36102,36053
RR,560,1118,28,23707,22589,22561
RR,561,1120,29,25137,24017,23988
RR,562,1122,95,49931,48809,48714
RR,563,1124,44,34013,32889,32845
RR,564,1126,39,31689,30563,30524
RR,565,1128,19,17706,16578,16559
RR,566,1130,40,31695,30565,30525
RR,567,1132,85,48896,47764,47679
RR,568,1134,50,37238,36104,36054
RR,569,1136,59,41711,40575,40516
RR,570,1138,11,11161,10023,10012
RR,571,1140,79,47817,46677,46598
RR,572,1142,95,49932,48790,48695
RR,573,1144,61,42502,41358,41297
RR,574,1146,43,34040,32894,32851
RR,575,1148,75,46901,45753,45678
RR,576,1150,87,49189,48039,47952
RR,577,1152,65,43969,42817,42752
RR,578,1154,56,40065,38911,38855
RR,579,1156,19,17749,16593,16574
RR,580,1158,40,31735,30577,30537
RR,581,1160,94,49809,48649,48555
RR,582,1162,69,45265,44103,44034
RR,583,1164,80,47833,46669,46589
RR,584,1166,82,48230,47064,46982
RR,585,1168,41,32925,31757,31716
RR,586,1170,97,50011,48841,48744
RR,587,1172,19,17778,16606,16587
RR,588,1174,83,48592,47418,47335
RR,589,1176,97,50012,48836,48739
RR,590,1178,18,16209,15031,15013
RR,591,1180,79,47842,46662,46583
RR,592,1182,95,49937,48755,48660
RR,593,1184,12,11247,10063,10051
RR,594,1186,60,41769,40583,40523
RR,595,1188,89,49435,48247,48158
RR,596,1190,14,12956,11766,11752
RR,597,1192,40,31787,30595,30555
RR,598,1194,32,26640,25446,25414
RR,599,1196,96,49939,48743,48647
RR,600,1198,17,16240,15042,15025
RR,601,1200,11,11275,10075,10064
RR,602,1202,12,11279,10077,10065
RR,603,1204,41,32968,31764,31723
RR,604,1206,56,40119,38913,38857
RR,605,1208,65,44014,42806,42741
RR,606,1210,28,23851,22641,22613
RR,607,1212,69,45300,44088,44019
RR,608,1214,34,28012,26798,26764
RR,609,1216,92,49646,48430,48338
RR,610,1218,98,50014,48796,48698
RR,611,1220,30,25289,24069,24039
RR,612,1222,67,44688,43466,43399
RR,613,1224,54,39250,38026,37972
RR,614,1226,31,26680,25454,25423
RR,615,1228,79,47864,46636,46557
RR,616,1230,45,35252,34022,33977
RR,617,1232,70,45311,44079,44009
